Package,LibPath,Version,Priority,Built
knitr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.19,NA,3.4.2
labeling,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.3,NA,3.4.1
latticeExtra,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.6-28,NA,3.4.2
lazyeval,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2.1,NA,3.4.2
lubridate,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.7.1,NA,3.4.2
magrittr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.5,NA,3.4.2
maps,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,3.2.0,NA,3.4.2
markdown,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.8,NA,3.4.2
MASS,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,7.3-48,recommended,3.4.3
Matrix,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2-12,recommended,3.4.3
mgcv,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.8-23,recommended,3.4.3
mime,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.5,NA,3.4.1
mnormt,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.5-5,NA,3.4.1
modelr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1.1,NA,3.4.2
munsell,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.4.3,NA,3.4.2
openssl,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.9.9,NA,3.4.2
pander,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.6.1,NA,3.4.3
pillar,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
pkgconfig,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.0.1,NA,3.4.2
plogr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1-1,NA,3.4.2
plotly,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,4.7.1,NA,3.4.2
plyr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.8.4,NA,3.4.2
praise,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
prettyunits,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.2,NA,3.4.2
progress,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.2,NA,3.4.2
proj4,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
psych,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.7.8,NA,3.4.2
purrr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2.4,NA,3.4.2
R6,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.2.2,NA,3.4.2
RColorBrewer,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1-2,NA,3.4.1
Rcpp,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.12.15,NA,3.4.3
readr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.1,NA,3.4.2
readxl,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
rematch,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.1,NA,3.4.2
rematch2,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
reprex,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1.2,NA,3.4.2
reshape,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.8.7,NA,3.4.2
reshape2,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.4.3,NA,3.4.3
rex,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
rlang,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
rmarkdown,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.8,NA,3.4.2
RMySQL,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.10.13,NA,3.4.3
rpart,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,4.1-12,recommended,3.4.3
rprojroot,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.3-2,NA,3.4.3
rstudioapi,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.7,NA,3.4.2
Rttf2pt1,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.3.5,NA,3.4.3
rvest,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.3.2,NA,3.4.2
scales,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.5.0,NA,3.4.2
selectr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.3-1,NA,3.4.2
servr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.8,NA,3.4.3
shiny,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.5,NA,3.4.2
skimr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
sourcetools,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1.6,NA,3.4.2
sp,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2-7,NA,3.4.3
stringdist,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.9.4.6,NA,3.4.3
stringi,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.6,NA,3.4.2
stringr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
styler,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
testthat,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.0.0,NA,3.4.3
tibble,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.4.2,NA,3.4.3
tidyr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.7.2,NA,3.4.3
tidyselect,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2.3,NA,3.4.2
tidyverse,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.1,NA,3.4.3
tint,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.0.5,NA,3.4.3
tufte,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.3,NA,3.4.2
tufterhandout,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.1,NA,3.4.2
usethis,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
utf8,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.1.3,NA,3.4.3
viridis,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.4.1,NA,3.4.3
viridisLite,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
whisker,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.3-2,NA,3.4.2
withr,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.1.1,NA,3.4.3
xfun,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,0.1,NA,3.4.3
xml2,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
xtable,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,1.8-2,NA,3.4.2
yaml,C:/Users/kurti/OneDrive/Documents/R/win-library/3.4,2.1.16,NA,3.4.3
base,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
boot,C:/Program Files/R/R-3.4.2/library,1.3-20,recommended,3.4.2
class,C:/Program Files/R/R-3.4.2/library,7.3-14,recommended,3.4.2
cluster,C:/Program Files/R/R-3.4.2/library,2.0.6,recommended,3.4.2
codetools,C:/Program Files/R/R-3.4.2/library,0.2-15,recommended,3.4.2
compiler,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
datasets,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
foreign,C:/Program Files/R/R-3.4.2/library,0.8-69,recommended,3.4.2
graphics,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
grDevices,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
grid,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
KernSmooth,C:/Program Files/R/R-3.4.2/library,2.23-15,recommended,3.4.2
lattice,C:/Program Files/R/R-3.4.2/library,0.20-35,recommended,3.4.2
MASS,C:/Program Files/R/R-3.4.2/library,7.3-47,recommended,3.4.2
Matrix,C:/Program Files/R/R-3.4.2/library,1.2-11,recommended,3.4.2
methods,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
mgcv,C:/Program Files/R/R-3.4.2/library,1.8-20,recommended,3.4.2
nlme,C:/Program Files/R/R-3.4.2/library,3.1-131,recommended,3.4.2
nnet,C:/Program Files/R/R-3.4.2/library,7.3-12,recommended,3.4.2
parallel,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
rpart,C:/Program Files/R/R-3.4.2/library,4.1-11,recommended,3.4.2
spatial,C:/Program Files/R/R-3.4.2/library,7.3-11,recommended,3.4.2
splines,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
stats,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
stats4,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
survival,C:/Program Files/R/R-3.4.2/library,2.41-3,recommended,3.4.2
tcltk,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
tools,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
translations,C:/Program Files/R/R-3.4.2/library,3.4.2,NA,3.4.2
utils,C:/Program Files/R/R-3.4.2/library,3.4.2,base,3.4.2
